,Name,Year,GroupNum,Status,Birth_Date,Birth_Place,Gender,Alma_Mater,Undergraduate_Major,Graduate_Major,Military_Rank,Military_Branch,Space_Flights,Space_Flight_hr,Space_Walks,Space_Walks_hr,Missions,Death_Date,Death_Mission
147,Jerry M. Linenger,1992,14,Retired,16-01-1955,"Mount Clemens, MI",Male,US Naval Academy; University of Southern Calif...,Bioscience,Systems Management; Public Health; Medicine; E...,Captain,US Navy (Retired),2,3435,1,5,"STS-64 (Discovery), STS-81/84 (Atlantis)",NaN,NaN
148,Joan E. Higginbotham,1996,16,Retired,3/8/64,"Chicago, IL",Female,Southern Illinois University-Carbondale; Flori...,Electrical Engineering,Business Management; Space Systems,Captain,US Navy (Retired),1,308,0,0,STS-116 (Discovery),NaN,NaN
149,Joe F. Edwards Jr.,1995,15,Retired,3/2/58,"Richmond, VA",Male,US Naval Academy; University of Tennessee-Knox...,Aerospace Engineering,Aviation Systems,Commander,US Navy (Retired),1,211,0,0,STS-89 (Endeavor),NaN,NaN
150,Joe H. Engle,1966,5,Retired,26-08-1932,"Dickinson, KS",Male,University of Kansas,Aeronautical Engineering,Aviation Systems,Major General,US Air Force (Retired),2,224,0,0,"STS-2 (Columbia), STS 51-I (Discovery)",NaN,NaN
151,John A. Llewellyn,1967,6,Retired,22-04-1933,"Cardiff, Wales",Male,University College at Cardiff,Chemistry,Chemistry,Major General,US Air Force (Retired),0,0,0,0,"STS-2 (Columbia), STS 51-I (Discovery)",NaN,NaN
152,John B. Herrington,1996,16,Retired,14-09-1958,"Wetumka, OK",Male,University of Colorado; US Naval Postgraduate ...,Applied Mathematics,Aeronautical Engineering,Commander,US Navy (Retired),1,330,3,20,STS-113 (Endeavor),NaN,NaN
153,John D. Olivas,1998,17,Retired,25-05-1966,"North Hollywood, CA",Male,University of Texas-El Paso; University of Hou...,Mechanical Engineering,Mechanical Engineering; Mechanical Engineeri...,Commander,US Navy (Retired),2,665,5,34,"STS-117 (Atlantis), STS-128 (Discovery)",NaN,NaN
154,John E. Blaha,1980,9,Retired,26-08-1942,"San Antonio, TX",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautical Engineering,Colonel,US Air Force (Retired),5,3861,0,0,"STS-29 (Discovery), STS-33 (Discovery), STS-43...",NaN,NaN
155,John H. Casper,1984,10,Management,9/7/43,"Greenville, SC",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautics,Colonel,US Air Force (Retired),4,825,0,0,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (...",NaN,NaN
156,John H. Glenn Jr.,1959,1,Deceased,18-07-1921,"Cambridge, OH",Male,Muskingum College,Engineering,Astronautics,Colonel,US Marine Corps (Retired),2,218,0,0,"Mercury 6, STS-95 (Discovery)",8/12/16,Complications from surgery
157,John L. Phillips,1996,16,Retired,15-04-1951,"Ft. Belvoir, VA",Male,US Naval Academy; University of West Florida; ...,Mathematics; Russian,Aeronautical Systems; Geophysics & Space Physics,Captain,US Naval Reserves (Retired),3,4880,1,5,"STS-100 (Endeavor), ISS-11 (Soyuz), STS-119 (D...",NaN,NaN
158,John L. Swigert Jr.,1966,5,Deceased,30-08-1931,"Denver, CO",Male,University of Colorado; Rensselaer Polytechnic...,Mechanical Engineering,Aerospace Science; Business Administration,Captain,US Naval Reserves (Retired),1,142,0,0,Apollo 13,27-12-1982,Natural causes
159,John M. Fabian,1978,8,Retired,28-01-1939,"Goosecreek, TX",Male,Washington State University; US Air Force Inst...,Mechanical Engineering,Aerospace Engineering; Aeronautics & Astronautics,Colonel,US Air Force (Retired),2,316,0,0,"STS-7 (Challenger), STS 51-G (Discovery)",NaN,NaN
160,John M. Grunsfeld,1992,14,Management,10/10/58,"Chicago, IL",Male,MIT; University of Chicago,Physics,Physics,Colonel,US Air Force (Retired),5,1407,8,58,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 ...",NaN,NaN
161,John O. Creighton,1978,8,Retired,28-04-1943,"Orange, TX",Male,US Naval Academy; George Washington University,Physics,Science & Technology Administration,Captain,US Navy (Retired),3,404,0,0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-4...",NaN,NaN
162,John S. Bull,1966,5,Deceased,25-09-1934,"Memphis, TN",Male,Rice University; Stanford University,Mechanical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),0,0,0,0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-4...",11/8/08,NaN
163,John W. Young,1962,2,Retired,24-09-1930,"San Francisco, CA",Male,Georgia Institute of Technology,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),6,835,3,20,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS...",NaN,NaN
164,John-David F. Bartoe,1962,2,Retired,17-11-1944,"Abington, PA",Male,Lehigh University; Georgetown University,Physics,Physics,Captain,US Navy (Retired),1,190,0,0,STS 51-F (Challenger),NaN,NaN
165,Jon A. McBride,1978,8,Retired,14-08-1943,"Charleston, WV",Male,US Naval Postgraduate School,Aeronautical Engineering,Physics,Captain,US Navy (Retired),1,197,0,0,STS 41-G (Challenger),NaN,NaN
166,Jose M. Hernandez,2004,19,Retired,7/8/62,"French Camp, CA",Male,University of the Pacific; University of Calif...,Electrical Engineering,Electrical & Computer Engineering,Captain,US Navy (Retired),1,332,0,0,STS-128 (Discovery),NaN,NaN
167,Joseph M. Acaba,2004,19,Active,17-05-1967,"Inglewood, CA",Male,University of California-Santa Barbara; Univer...,Geology,Geology,Captain,US Navy (Retired),2,3307,2,13,"STS-119 (Discovery), ISS-31/32 (Soyuz)",NaN,NaN
168,Joseph P. Allen,1967,6,Retired,27-06-1937,"Crawsfordsville, IN",Male,DePauw University; Yale University,Mathematics & Physics,Physics,Captain,US Navy (Retired),2,313,2,12,"ST-5 (Columbia), STS 51-A (Discovery)",NaN,NaN
169,Joseph P. Kerwin,1965,4,Retired,19-02-1932,"Oak Park, IL",Male,College of the Holy Cross; Northwestern Univer...,Philosophy,Medicine,Captain,US Navy (Retired),1,672,1,3,Skylab 2,NaN,NaN
170,Joseph R. Tanner,1992,14,Retired,21-01-1950,"Danville, IL",Male,University of Illinois,Mechanical Engineering,Medicine,Captain,US Navy (Retired),4,1045,7,46,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 ...",NaN,NaN
171,Judith A. Resnik,1978,8,Deceased,5/4/49,"Akron, OH",Female,Carnegie-Mellon University; University of Mary...,Electrical Engineering,Electrical Engineering,Captain,US Navy (Retired),2,144,0,0,"STS 41-D (Discovery), STS 51-L (Challenger)",28-01-1986,STS 51-L (Challenger)
172,K. Megan McArthur,2000,18,Active,30-08-1971,"Honolulu, HI",Female,University of California-Los Angeles; Universi...,Aerospace Engineering,Oceanography,Captain,US Navy (Retired),1,309,0,0,STS-125 (Atlantis),NaN,NaN
173,Kalpana Chawla,1995,15,Deceased,1/6/61,"Karnal, India",Female,Punjab Engineering College; University of Texa...,Aeronautical Engineering,Aerospace Engineering,Captain,US Navy (Retired),2,734,0,0,"STS-87 (Columbia), STS-107 (Columbia)",1/2/03,STS-107 (Columbia)
174,Karen L. Nyberg,2000,18,Active,7/10/69,"Parker’s Prairie, MN",Female,University of North Dakota; University of Texas,Mechanical Engineering,Mechanical Engineering,Captain,US Navy (Retired),2,4320,0,0,"STS-124 (Discovery), ISS-36/37 (Soyuz)",NaN,NaN
175,Karl G. Henize,1967,6,Deceased,17-10-1926,"Cincinnati, OH",Male,University of Virginia; University of Michigan,Mathematics,Astronomy,Captain,US Navy (Retired),1,190,0,0,STS 51-F (Challenger),5/10/93,Natural causes
176,Karol J. Bobko,1969,7,Retired,23-12-1937,"New York, NY",Male,US Air Force Academy; University of Southern C...,Mathematics,Aerospace Engineering,Colonel,US Air Force (Retired),3,386,0,0,"STS-6 (Challenger), STS 51-D (Discovery), STS-...",NaN,NaN
177,Kathleen Rubins,2009,20,Active,14-10-1978,"Farmington, CT",Female,University of California-San Diego; Stanford U...,Molecular Biology,Cancer Biology,Colonel,US Air Force (Retired),1,2762,2,13,ISS-48/49 (Soyuz),NaN,NaN
178,Kathryn C. Thornton,1984,10,Retired,17-08-1952,"Montgomery, AL",Female,Auburn University; University of Virginia,Physics,Physics,Colonel,US Air Force (Retired),4,975,3,21,"STS-33 (Discovery), STS-49 (Endeavor), STS-61 ...",NaN,NaN
179,Kathryn D. Sullivan,1978,8,Retired,3/10/51,"Patterson, NJ",Female,University of California-Santa Cruz; Dalhousie...,Earth Sciences,Earth Sciences; Geology,Colonel,US Air Force (Retired),3,532,1,3,"STS 41-G (Challenger), STS-31 (Discovery), STS...",NaN,NaN
180,Kathryn P. Hire,1995,15,Management,26-08-1959,"Mobile, AL",Female,US Naval Academy; Florida State Institute of T...,Engineering Management,Space Technology,Captain,US Naval Reserves,2,711,0,0,"STS-90 (Columbia), STS-130 (Endeavor)",NaN,NaN
181,Kenneth D. Bowersox,1987,12,Retired,14-11-1956,"Portsmouth, VA",Male,US Naval Academy; Columbia University,Aerospace Engineering,Mechanical Engineering,Captain,US Navy (Retired),5,5078,2,13,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (...",NaN,NaN
